firm_year,ticker,company_name,sector,year,has_1c,total_keyword_hits,balance_score,balance_sufficient,primary_function,w_GV,w_ID,w_PR,w_DE,w_RS,w_RC,k_GV,k_ID,k_PR,k_DE,k_RS,k_RC
POWER INTEGRATIONS INC (2024),POWI,POWER INTEGRATIONS INC,Semiconductors,2024,True,187,0.5467,False,GV,0.7273,0.1551,0.0053,0.0214,0.0535,0.0374,136,29,1,4,10,7
POWER INTEGRATIONS INC (2025),POWI,POWER INTEGRATIONS INC,Semiconductors,2025,True,225,0.516,False,GV,0.7822,0.1022,0.0178,0.0222,0.0444,0.0311,176,23,4,5,10,7
Apple Inc. (2022),AAPL,Apple Inc.,Technology,2022,False,150,0.6234,True,GV,0.5867,0.2733,0.0933,0.0,0.0133,0.0333,88,41,14,0,2,5
Apple Inc. (2023),AAPL,Apple Inc.,Technology,2023,True,156,0.6114,True,GV,0.609,0.2564,0.0897,0.0,0.0128,0.0321,95,40,14,0,2,5
Apple Inc. (2024),AAPL,Apple Inc.,Technology,2024,True,195,0.5917,False,GV,0.6462,0.2256,0.0821,0.0051,0.0154,0.0256,126,44,16,1,3,5
Apple Inc. (2025),AAPL,Apple Inc.,Technology,2025,True,192,0.6055,True,GV,0.6146,0.2656,0.0729,0.0052,0.0156,0.026,118,51,14,1,3,5
"Amplitude, Inc. (2022)",AMPL,"Amplitude, Inc.",Technology,2022,False,373,0.5614,False,GV,0.7024,0.1609,0.0938,0.0054,0.0214,0.0161,262,60,35,2,8,6
"Amplitude, Inc. (2023)",AMPL,"Amplitude, Inc.",Technology,2023,True,418,0.5663,False,GV,0.6962,0.1603,0.0885,0.0048,0.0359,0.0144,291,67,37,2,15,6
"Amplitude, Inc. (2024)",AMPL,"Amplitude, Inc.",Technology,2024,True,464,0.5561,False,GV,0.7091,0.1724,0.0754,0.0043,0.0259,0.0129,329,80,35,2,12,6
"Amplitude, Inc. (2025)",AMPL,"Amplitude, Inc.",Technology,2025,True,488,0.5631,False,GV,0.6967,0.1824,0.0779,0.0061,0.0246,0.0123,340,89,38,3,12,6
Alphabet Inc. (2022),GOOGL,Alphabet Inc.,Technology,2022,False,195,0.5996,False,GV,0.6359,0.2256,0.0821,0.0103,0.0359,0.0103,124,44,16,2,7,2
Alphabet Inc. (2023),GOOGL,Alphabet Inc.,Technology,2023,True,253,0.5826,False,GV,0.668,0.1937,0.0711,0.0119,0.0435,0.0119,169,49,18,3,11,3
Alphabet Inc. (2024),GOOGL,Alphabet Inc.,Technology,2024,True,272,0.5829,False,GV,0.6654,0.2022,0.0699,0.011,0.0404,0.011,181,55,19,3,11,3
Alphabet Inc. (2025),GOOGL,Alphabet Inc.,Technology,2025,True,280,0.58,False,GV,0.6714,0.1929,0.075,0.0107,0.0393,0.0107,188,54,21,3,11,3
Gitlab Inc. (2022),GTLB,Gitlab Inc.,Technology,2022,False,483,0.548,False,GV,0.7226,0.1656,0.0683,0.0041,0.0145,0.0248,349,80,33,2,7,12
Gitlab Inc. (2023),GTLB,Gitlab Inc.,Technology,2023,False,541,0.5676,False,GV,0.6932,0.1516,0.1146,0.0037,0.0148,0.0222,375,82,62,2,8,12
Gitlab Inc. (2024),GTLB,Gitlab Inc.,Technology,2024,True,607,0.5646,False,GV,0.6985,0.1516,0.1054,0.0066,0.0148,0.0231,424,92,64,4,9,14
Gitlab Inc. (2025),GTLB,Gitlab Inc.,Technology,2025,True,580,0.5762,False,GV,0.681,0.1569,0.1121,0.0069,0.0138,0.0293,395,91,65,4,8,17
MICROSOFT CORP (2022),MSFT,MICROSOFT CORP,Technology,2022,False,172,0.5979,False,GV,0.6279,0.2558,0.0756,0.0,0.0233,0.0174,108,44,13,0,4,3
MICROSOFT CORP (2023),MSFT,MICROSOFT CORP,Technology,2023,False,163,0.6113,True,GV,0.6135,0.2454,0.092,0.0061,0.0245,0.0184,100,40,15,1,4,3
MICROSOFT CORP (2024),MSFT,MICROSOFT CORP,Technology,2024,True,269,0.6209,True,GV,0.6171,0.2007,0.0855,0.0186,0.0558,0.0223,166,54,23,5,15,6
MICROSOFT CORP (2025),MSFT,MICROSOFT CORP,Technology,2025,True,256,0.6275,True,GV,0.6055,0.2148,0.0781,0.0195,0.0586,0.0234,155,55,20,5,15,6
"SCANSOURCE, INC. (2022)",SCSC,"SCANSOURCE, INC.",Technology,2022,False,62,0.6093,True,GV,0.6129,0.2581,0.0484,0.0161,0.0,0.0645,38,16,3,1,0,4
"SCANSOURCE, INC. (2023)",SCSC,"SCANSOURCE, INC.",Technology,2023,False,57,0.6156,True,GV,0.614,0.2281,0.0526,0.0175,0.0,0.0877,35,13,3,1,0,5
"SCANSOURCE, INC. (2024)",SCSC,"SCANSOURCE, INC.",Technology,2024,True,150,0.6299,True,GV,0.62,0.1267,0.0733,0.0133,0.0733,0.0933,93,19,11,2,11,14
"SCANSOURCE, INC. (2025)",SCSC,"SCANSOURCE, INC.",Technology,2025,True,153,0.6348,True,GV,0.6144,0.1307,0.0719,0.0196,0.0719,0.0915,94,20,11,3,11,14
Unity Software Inc. (2022),U,Unity Software Inc.,Technology,2022,False,353,0.6295,True,GV,0.5609,0.3059,0.1105,0.0057,0.0057,0.0113,198,108,39,2,2,4
Unity Software Inc. (2023),U,Unity Software Inc.,Technology,2023,True,409,0.6088,True,GV,0.6064,0.2641,0.11,0.0024,0.0098,0.0073,248,108,45,1,4,3
Unity Software Inc. (2024),U,Unity Software Inc.,Technology,2024,True,400,0.6141,True,GV,0.5975,0.2675,0.115,0.005,0.01,0.005,239,107,46,2,4,2
Unity Software Inc. (2025),U,Unity Software Inc.,Technology,2025,True,449,0.61,True,GV,0.6125,0.245,0.1114,0.0067,0.0156,0.0089,275,110,50,3,7,4
